"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang S.; Wu L.; Gu T.; Shi Y.; Tian X.; Li H.; Hou H.; Zhao Y.","Zhang, Shuaixin (57217537078); Wu, Li (56199438100); Gu, Tao (55647805300); Shi, Yucong (57729149400); Tian, Xiaolin (57208619066); Li, Huanqing (57795381100); Hou, Hua (35237433400); Zhao, Yuhong (57225060943)","57217537078; 56199438100; 55647805300; 57729149400; 57208619066; 57795381100; 35237433400; 57225060943","Effect of microstructure on the mechanical properties of ultrafine-grained Cu-Al-Ni alloys processed by deformation and annealing","2022","Journal of Alloys and Compounds","923","","166413","","","20","10.1016/j.jallcom.2022.166413","https://www.scopus.com/pages/publications/85135063505?origin=resultslist","In this research, ultrafine-grained Cu-7at%Al-3at%Ni alloys with a twin structure and precipitates were prepared by cold rolling+aging+cold rolling+aging (CR+ACA) and multi-directional forging+aging+cold rolling+aging (MDF+ACA). In contrast with un-deformation sample, significant increases in strength were obtained by MDF+ACA and CR+ACA, reaching 803.7 MPa and 722.8 MPa respectively, while maintaining a good elongation of 9.5 % and 8.4 %. Compared with CR+ACA, this is noted that a synergistic improvment in strength and elongation is achieved after MDF+ACA. The effect of microstructure on strength and elongation was investigated and the contribution of each strengthening mechanism for strength was analysed. The results show that the enhancement in strength is due to the increased dislocation density as well as decreasing grain size formed in the MDF+ACA process. The higher twinning fraction in the sample after MDF+ACA leads to an increase in elongation due to the ability of twins to storage dislocations which can increase the strain hardening capability of the alloy. In addition, the current work describes a refinement mechanism for obtaining ultra-fine grains using these two different deformation processes by phase-field crystal (PFC) method simulation. The results of this study will help in further preparation of copper alloys with synergistic improvement strength and elongation. © 2022 Elsevier B.V.","Cu-Al-Ni alloy; Deformation twins; Multi-directional forging; Phase-field crystal (PFC); Strength and ductility; Ultrafine-grained","Cold rolling; Copper alloys; Elongation; Forging; Nickel alloys; Recrystallization (metallurgy); Strain hardening; Ternary alloys; Deformation twin; Multidirectional forging; Ni alloys; Phase-field crystal; Phase-field crystals; Strength and ductilities; Strength and elongations; Twin structure; Ultra-fine grained ( UFG); Ultrafine-grained Cu; Aluminum alloys","Article","Final","","Scopus","2-s2.0-85135063505"
"Wei X.; Zhang P.; Ma Y.; Liu J.; Yu Z.; Cong C.","Wei, Xiaoding (14619926300); Zhang, Peng (55547110010); Ma, Yuwei (58295790300); Liu, Junjie (58534474500); Yu, Zhongliang (57200220193); Cong, Chaonan (57223026914)","14619926300; 55547110010; 58295790300; 58534474500; 57200220193; 57223026914","Strengthening mechanisms in heterostructured copper films with highly (220)-oriented vertical nanotwins; [具有高度(220)取向垂直纳米孪晶异质结构铜薄膜的强化机制研究]","2024","Acta Mechanica Sinica/Lixue Xuebao","40","1","","","","2","10.1007/s10409-023-23371-x","https://www.scopus.com/pages/publications/85184182745?origin=resultslist","In this study, heterostructured copper films containing different proportions of highly (220)-oriented vertical nanotwins were prepared by direct current (DC) electroplating. Uniaxial tensile tests showed that the mechanical properties improved notably when the volume ratio of the vertical nanotwins increased—the film with the 88% vertical twins exhibited the ultimate tensile strength of 455 MPa, approximately 83% higher than those of the equiaxed Cu films. Postmortem electron microscopy characterizations, assisted by molecular dynamics simulations, revealed that these special heterostructures of the equiaxed grains and vertical nanotwins facilitated the activation of multi-mode slip systems. The activation of multi-mode slip systems leads to higher dislocation density, thus endowing the material with enhanced mechanical strength and work hardening rate without significant loss of ductility. © The Chinese Society of Theoretical and Applied Mechanics and Springer-Verlag GmbH Germany, part of Springer Nature 2024.","DC Electrodeposition; Dislocation mechanism; Mechanical properties; Vertical twins","Metallic films; Molecular dynamics; Strain hardening; Tensile strength; Tensile testing; Textures; Copper films; Different proportions; Direct-current; Direct-current electrodeposition; Dislocation mechanisms; Multimodes; Nanotwins; Slip system; Strengthening mechanisms; Vertical twin; Chemical activation","Article","Final","","Scopus","2-s2.0-85184182745"
"Thiruselvam N.I.; Jeyaraam R.; Chalapathi D.","Thiruselvam, N.I. (58162365500); Jeyaraam, R. (56084058000); Chalapathi, D. (57193494304)","58162365500; 56084058000; 57193494304","Post-Deformation Microstructure Analyses of Copper Oligocrystals using EBSD and Crystal Plasticity Simulation","2023","AIP Conference Proceedings","2754","1","030009","","","2","10.1063/5.0161054","https://www.scopus.com/pages/publications/85176763492?origin=resultslist","Oligocrystals are millimeter-sized grains, which are conveniently used to draw a better correlation between deformation and microstructure than polycrystals. They usually do not contain an underlying grain, which could affect the deformation of grains that are visible on the specimen surface. The out-of-plane displacements commonly seen at/near grain boundaries in oligocrystals demand the use of stereovision-based Digital Image Correlation (stereo DIC). Recently, tensile deformation of a copper oligocrystal specimen was reported in [1] using high-resolution stereo DIC. In the present work, we perform post-deformation microstructure analyses of that specimen using EBSD and compare the results with a crystal plasticity simulation based on full-constraint Taylor theory. There is little agreement between the EBSD measurements and the crystal plasticity simulations with respect to the extent of grain rotation and the grain orientation spread. Nevertheless, the EBSD measurements reveal a qualitative agreement among the spatial distribution of kernel average misorientation, norm of Nyes dislocation density tensor, and the DIC strain gradients. In addition to showing an excellent agreement between the postdeformation microstructure analyses performed in this work and the published DIC results, we clearly bring out the discrepancies of the crystal plasticity simulation based on Taylor model. © 2023 American Institute of Physics Inc.. All rights reserved.","","","Conference paper","Final","","Scopus","2-s2.0-85176763492"
"Zhao L.; Chen L.; Luo B.; Liang Y.; Shi J.; Zhang S.; Lin Z.; Shi P.; Zheng T.; Zhou B.; Guo Y.; Li Q.; Liu C.; Shen Z.; Ding B.; Zhong Y.","Zhao, Lun (57871787200); Chen, Liangguo (57872126400); Luo, Boyi (58676164100); Liang, Yuanxin (58675611700); Shi, Junqi (57221041902); Zhang, Shunran (57699342900); Lin, Zhongze (57224217069); Shi, Peijian (57205627904); Zheng, Tianxiang (55512828300); Zhou, Bangfei (57188662598); Guo, Yifeng (57191286124); Li, Qiang (57213271221); Liu, Chunmei (55993584200); Shen, Zhe (56662623000); Ding, Biao (57194771300); Zhong, Yunbo (7401809061)","57871787200; 57872126400; 58676164100; 58675611700; 57221041902; 57699342900; 57224217069; 57205627904; 55512828300; 57188662598; 57191286124; 57213271221; 55993584200; 56662623000; 57194771300; 7401809061","Low-dislocation-density ultrafine lamellar structure buffering triples ductility in Cu-8wt.%Sn alloy treated by rotary swaging and appropriate annealing","2024","Materials Science and Engineering: A","889","","145847","","","11","10.1016/j.msea.2023.145847","https://www.scopus.com/pages/publications/85175485562?origin=resultslist","Breaking the strength-ductility trade-off in metal materials has always been a prominent topic in materials science. Here, we proposed a novel strategy of combining rotary swaging (RS) with appropriate annealing to construct an ultrafine lamellar structure with low dislocation density in Cu-8wt.% Sn alloy. This unique anisotropic structure achieves triple ductility without compromising strength compared with the traditional cold rolling process. Results show that the lamellar structure composed of alternating ultrafine-grained α-Cu and brittle Sn-rich phases can be significantly refined by RS, which can weaken stress concentration and thus reduce microcrack nucleation during tensile deformation. The lamellar ultrafine-grained α-Cu with low dislocation density has excellent strain hardening ability, which can effectively mediate deformation, and resist crack propagation and coalescence, thereby enhancing the ductility of materials. As a deformation method with industrial application capability, RS can construct a novel lamellar structure to overcome the strength-ductility dilemma, which deserves attention in materials science. © 2023","Cu–Sn alloy; Lamellar structure; Rotary swaging; Strength-ductility trade-off","Binary alloys; Cold rolling; Copper alloys; Economic and social effects; Lamellar structures; Strain hardening; Tin alloys; Cu-Sn alloys; Low-dislocation density; Material science; Rotary swaging; Sn alloys; Strength-ductility trade-off; Trade off; Ultra-fine grained ( UFG); Ultra-fines; Ultrafine; Ductility","Article","Final","","Scopus","2-s2.0-85175485562"
"Liu Q.; Hu D.; Yang M.; Li B.; Huang C.","Liu, Qingqing (59282983300); Hu, Deling (58615426200); Yang, Ming (57151555700); Li, Bo (58121024200); Huang, Chaowen (55268214600)","59282983300; 58615426200; 57151555700; 58121024200; 55268214600","Mechanical Properties of Al-Cu-Mn Alloy with Composite Nanostructures; [Al-Cu-Mn 合金复合纳米结构构筑及强塑性机制研究]","2023","Xiyou Jinshu/Chinese Journal of Rare Metals","47","7","","959","966","1","10.13373/j.cnki.cjrm.XY20110030","https://www.scopus.com/pages/publications/85172163518?origin=resultslist","With the increasing requirements for light weight metal materials，the application of 2-series Al-Cu alloys in industry was becoming more and more extensive. 211ZX aluminum alloy was a new generation of Al-Cu series alloy in dependently developed by China. In order to expand the application of the material in industry，it was necessary to improve its room temperature formability and mechanical properties. The method to improve the formability and mechanical properties of the alloy at room temperature was thermo-mechanical treatment，which included solution treatment，multi-pass rolling deformation at room temperature and low temperature ag⁃ ing. Four equal sheets of 20 mm×30 mm×5 mm were cut from the original sample. The first sheet was aged at 160 ℃ for 10 h（T6 treat⁃ ment）. The second sheet was subjected to two passes of rolling deformation with a true strain of 2.04 at room temperature. After ten passes of rolling deformation with true strain of 2.04，the third and fourth sheet were aged for 30 h at 100 and 160 ℃，respectively. The mechanical properties of the samples were tested by hardness and tensile tests. Through X-ray diffraction（XRD），confocallaser scanning microscopy（CLSM）and transmission electron microscopy（TEM）microstructure characterization，the micro morphology and precipitation of the alloy in different states were observed respectively. Through the analysis of the microstructure and mechanical properties，the following conclusions could be drawn：（1）After the solution treated sample was deformed by two passes with a true strain of 2.04，the surface had obvious macroscopic appearance. Cracks and rolling defects，while the surface integrity of the sample af⁃ ter ten passes of rolling deformation was better without obvious defects.（2）In the sheet after ten-pass rolling deformation，the grains on transverse direction-normal direction（TD-ND）surface were elongated into a layered structure，and S-shaped shear bands could be observed on rolling direction-normal direction（RD-ND）surface.（3）The hardness of the rolled sheet reached its peak after aging at 100 ℃ for 25 h. The tensile test results showed that the yield strength of the alloy in this state was 561 MPa，which was much higher than the 348 MPa in T6 state. In addition，the uniform elongation of the alloy in this state was increased by 5% compared to the de⁃ formed sample.（4）After 25 h of aging at 100 ℃，the dislocation density of the rolled samples decreased，forming a typical network structure. The number of nanograins increased slightly，and the size remained basically unchanged. At the same time，low-temperature aging introduced high-density nano-precipitates.（5）TEM analysis of the fracture surface after tensile test revealed that the dislocation density around the nano-precipitated phase was significantly increased. In the case of the same amount of deformation（ true strain of 2.04），obvious macroscopic cracks appeared in the sheet after two-pass rolling deformation，while the integrity of the sheet after ten-pass rolling deformation was better，and no obvious cracks appeared. This was because the multi-pass rolling reduced the heat of defor⁃ mation，so that the copper element in the alloy existed in the aluminum matrix in the form of solid solution atoms，so there was no obvi⁃ ous precipitation，thereby improving the formability of the sheet. After multi-pass cumulative rolling deformation，the grains on TD-ND surface were elongated into a layered structure，and S-shaped shear bands could be observed on RD-ND surface. This was because the supersaturated solute atoms inhibited the cross-slip during the deformation process，and accelerated the accumulation of structural de⁃ formation and deformation defects inside the sheet，thereby forming an S-shaped shear band. In order to obtain a refined nanostruc⁃ ture，the solid solution sample was subjected to multi-pass cumulative cold rolling. The remaining T phase after solution treatment could be used as a source of dislocations to emit dislocations during the deformation process，it ccould also promote the proliferation of dislocations，or as an obstacle to accumulate dislocations. During the rolling deformation process，T phase could also reduce the mean free path of dislocation movement and promote the conversion of dislocations to other structures. Moreover，there was a certain strain gradient between T phase and the matrix during the deformation process，which was also helpful to accelerate the evolution of the struc⁃ ture around T phase. With the prolongation of aging time，nano-scale grains had appeared near T phase. In addition，when the low tem⁃ perature aging was applied，many dislocations annihilated by meeting an opposite sign dislocation，turning the highly entangled dislo⁃ cation area into a dislocation network structure. It was worth noting that the high-density dislocations near T phase form nanocrystals through severe dislocation movement（such as gliding，accumulation，and spatial rearrangement）during the aging process. The quan⁃ titative analysis of the strengthening mechanism showed that although the reduction of dislocation density reduced the contribution of dislocation enhancement to the strength，the grain boundary strengthening caused by ultra-fine grains/nanograins and the precipitation strengthening caused by high density nanocrystals eventually improved the strength of the rolled sheet. At the same time，the plasticity of the rolled sheet could be improved after low-temperature aging. This was due to the recovery of dislocations and the precipitated phases which increased the storage capacity of dislocations during the tensile deformation process，thereby increasing the plasticity of the deformed alloy. © 2023 Editorial Office of Chinese Journal of Rare Metals. All rights reserved.","211ZX aluminum alloy; mechanical properties; nano-precipitation; ultrafine grain","Binary alloys; Copper alloys; Formability; Hardness; High resolution transmission electron microscopy; Manganese alloys; Microstructure; Morphology; Precipitation (chemical); Rolling; Room temperature; Scanning electron microscopy; Strain; Tensile testing; Ternary alloys; Thermomechanical treatment; 211zx aluminum alloy; Deformation process; Dislocations densities; Nano precipitations; Rolled sheets; Rolling deformation; S-shaped; T-phase; True strain; Ultra fine grain; Aluminum alloys","Article","Final","","Scopus","2-s2.0-85172163518"
"Tang S.-B.; Wu X.-D.; Cao L.-Y.; Zou Y.; Bai M.; Yang Y.-R.; Cao G.-H.; Wang Z.-W.; Cao L.-F.","Tang, Song-Bai (57218874404); Wu, Xiao-Dong (57942381600); Cao, Ling-Yong (59869143500); Zou, Yan (57205501377); Bai, Min (58819890000); Yang, Yu-Rong (59156875500); Cao, Gao-Hui (57944508900); Wang, Zhao-Wei (60618900200); Cao, Ling-Fei (7401637692)","57218874404; 57942381600; 59869143500; 57205501377; 58819890000; 59156875500; 57944508900; 60618900200; 7401637692","Simultaneously enhanced ageing kinetics, strength and ductility of Al-Mg-Zn alloys by coupling Cu addition and combined pre-treatments; [通过添加 Cu 与组合预处理的策略协同提升 Al-Mg-Zn 合金的时效动力学、强度及塑性]","2026","Journal of Central South University","","","","","","0","10.1007/s11771-026-6307-1","https://www.scopus.com/pages/publications/105038148351?origin=resultslist","The development of high-performance aluminum alloys remains a critical challenge in industrial applications, among which crossover Al-Mg-Zn alloys have recently attracted much attention due to their excellent mechanical performance. However, the slow ageing response limits their wider application as compared to 7xxx aluminum alloys. To overcome the limitation, this study proposes a synergistic strategy incorporating Cu microalloying and combined pre-treatments (pre-ageing and pre-deformation). A high number density of T-phase precursors and dislocations are formed during combined pre-treatments, which prompts the formation of strengthening precipitates during the final ageing and results in uniform precipitate distribution. The precipitate free zone (PFZ) is narrowed and precipitate-sparse zones (PSZ) are eliminated as well. Therefore, a simultaneous enhancement of ageing kinetic and mechanical properties is achieved. Such improvement is further amplified by Cu addition, which assists the nucleation of GPI zones and enhances the dislocation density during pre-treatments. The Cu-modified alloy with optimized heat treatments achieves an exceptional strength-ductility synergy (520 MPa yield strength with 11% elongation) and rapid ageing response (32 h to peak ageing). These results represent a 44% strength improvement and 94% ageing acceleration compared to the direct-aged Cu-free counterpart (338 MPa yield strength with 10% elongation, and 536 h to peak ageing). This work provides a guideline for designing high-performance crossover aluminium alloys through thermomechanical treatments. (Figure presented.) © Central South University 2026.","ageing behavior; Al-Mg-Zn(-Cu) alloys; microstructure evolution; strength-ductility synergy","Accelerated aging; Aluminum alloys; Binary alloys; Copper; Copper alloys; Microstructure; Precipitates; Ternary alloys; Thermomechanical treatment; Yield stress; Zinc alloys; Ageing behavior; Ageing kinetics; Al-Mg-Zn alloys; Al-mg-zn(-cu) alloy; Combined pre treatments; Cu addition; Cu alloy; Microstructure evolutions; Performance; Strength-ductility synergies; Magnesium alloys","Article","Article in press","","Scopus","2-s2.0-105038148351"
"Wang H.; Jia L.; Wang W.; Ye C.; Li C.; Zhang X.; Zhang H.","Wang, Hao (59293190500); Jia, Lina (36537296500); Wang, Wenbo (57376056700); Ye, Chengtong (57207876815); Li, Chen (56461618200); Zhang, Xinquan (57224178061); Zhang, Hu (36159244800)","59293190500; 36537296500; 57376056700; 57207876815; 56461618200; 57224178061; 36159244800","Effect of the initial texture, recrystallization and re‐dissolution process on the evolution of texture during solution treatment of the 7a65 hot rolled plate","2022","Metals","12","1","8","","","8","10.3390/met12010008","https://www.scopus.com/pages/publications/85121345605?origin=resultslist","The evolution of textures, the degree of recrystallization and the mechanical properties of 7A65 hot rolled plates during re‐dissolution were studied with different thicknesses (25 mm, 65 mm, 120 mm) and different degrees of deformation. It was found that different plates exhibited different trends of re‐dissolution because the degrees of deformation increased and the degrees of recrystal-lization were different during the solution treatment. With the increase of deformation and static recrystallization degrees, texture types changed from Cube, R‐Cube to Brass, R, Cube and Copper during the re‐dissolution process. The value of the Schmid factor (μ—) was calculated and the value along the rolling direction was significantly larger than along the transverse direction, which led to a lower yield strength along the rolling direction. In terms of the average contribution of the yield strength, the strengthening of the grain boundary including LAGBs (low‐angle grain boundaries) was found to play a more significant role than the effect of solid atoms and dislocation densities. Therefore, the 25 mm plate exhibits the best mechanical properties, with a yield strength of 565.7 MPa along the rolling direction. © 2021 by the authors. Li-censee MDPI, Basel, Switzerland.","7A65 hot rolled plates; Recrystallization; Re‐dissolution; Schmid factor; Texture evolution","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85121345605"
"Cheng Z.; Zhong B.; Ni Z.; Jing W.; Zhang S.; Liu J.","Cheng, Zhaoyang (55534389400); Zhong, Bolin (57702315800); Ni, Zhengxuan (58420354100); Jing, Wenqiang (57702315900); Zhang, Shiqi (56467590800); Liu, Jing (55705921800)","55534389400; 57702315800; 58420354100; 57702315900; 56467590800; 55705921800","Research progress on simultaneous control of mechanical and magnetic properties of high-strength non-oriented silicon steel for new energy vehicle driving motors; [新能源汽车驱动电机用高强无取向硅钢力、磁性能调控研究进展]","2023","Gongcheng Kexue Xuebao/Chinese Journal of Engineering","45","9","","1482","1492","27","10.13374/j.issn2095-9389.2022.09.06.004","https://www.scopus.com/pages/publications/85163877397?origin=resultslist","New energy vehicles can effectively alleviate the severe dependence of the conventional automobile industry on fossil fuels and the environmental problems worldwide. They are an inevitable requirement in the future development of vehicles. As the power core of new energy vehicles, the driving motors should demonstrate excellent magnetic properties to improve energy conversion efficiency and high strength to resist centrifugal forces during high-speed operation. However, the mechanical and magnetic properties of non-oriented silicon steels remain challenging to balance. Therefore, their coordinated control is a key scientific issue in developing driving motors used in new energy vehicles. This study reviews the regulation of the mechanical and magnetic properties of high-strength non-oriented silicon steels. Additionally, the influence of various strengthening methods on the magnetic properties of nonoriented silicon steels is analyzed. Furthermore, this review highlights the future development of coordinated control of the mechanical and magnetic properties of high-strength non-oriented silicon steels. In non-oriented silicon steels, the dislocation density is relatively low, and the grain size is rather large. Thus, the contribution of dislocation and fine-grain strengthening to the yield strength is minimal. Therefore, by combining fine-grain, dislocation, and solid solution strengthening, the best match in the mechanical and magnetic properties of high-strength nonoriented silicon steels can be obtained. Although the precipitation strengthening effect of alloying elements, such as Nb, Ti, V, and Zr, in nonoriented silicon steels is evident, the carbonitrides formed are coarse-sized and irregularly shaped, which considerably deteriorates the magnetic properties of nonoriented silicon steels. During the early stage of aging treatment, the dispersed Cu precipitates with a BCC structure and fairly small grain size, exhibiting a good strengthening effect. Moreover, these Cu precipitates are coherent with the matrix and exhibit little hindering force on the movement of magnetic domains such that they do not deteriorate the magnetic properties of nonoriented silicon steels. Therefore, employing various strengthening methods or finely dispersed nano-coherent precipitates, nonoriented silicon steels with high strength and excellent magnetic properties can be developed for application in driving motors of new energy vehicles, which is an essential requirement for the high-quality development of the new energy vehicle industry. © 2023 Science Press. All rights reserved.","high-strength nonoriented silicon steel; magnetic properties; nano-coherent precipitation; new energy vehicles driving motors; strengthen methods","Carbides; Carbon nitride; Conversion efficiency; Copper; Crystal structure; Fossil fuels; High strength steel; Magnetic properties; Precipitation (chemical); Silicon steel; Strengthening (metal); Co-ordinated control; Coordinated control; Driving motors; High-strength; High-strength nonoriented silicon steel; Nano-coherent precipitation; New energy vehicle driving motor; New energy vehicles; Non-oriented silicon steel; Strengthen method; Automotive industry","Article","Final","","Scopus","2-s2.0-85163877397"
"Zheng W.; Xiang Y.; Fu Q.; Yuan W.","Zheng, Wenjie (58072809500); Xiang, Yang (58119622300); Fu, Qiang (36702565800); Yuan, Wuhua (59710982900)","58072809500; 58119622300; 36702565800; 59710982900","Study on the effects of pre-stretching and aging temperature on the stress relaxation behavior and mechanical properties of Al-3.58Cu-0.89Li alloy","2026","Materials Science and Engineering: A","965","","150291","","","0","10.1016/j.msea.2026.150291","https://www.scopus.com/pages/publications/105036472582?origin=resultslist","This study systematically investigates the effects of pre-stretching (0% and 5%) and aging temperature (130 °C, 155 °C, and 180 °C) on the stress relaxation behavior and mechanical properties of an Al-3.58Cu-0.89Li alloy. The aging temperature significantly modulates the stress relaxation characteristics: a conventional two-stage relaxation is observed at 130 °C and 180 °C, whereas a distinct four-stage relaxation appears exclusively at 155 °C. This anomalous four-stage behavior is attributed to the sequential processes of GPI zone dissolution and subsequent precipitation of θ′ and T1 phases, as revealed by microstructural analysis. Quantitative microstructure characterization shows that with increasing aging temperature from 130 °C to 180 °C, the volume fraction of the T1 phase increases from 2.39% to 4.23% in undeformed specimens and from 0.89% to 4.92% in pre-stretched specimens, while the GPI regions disappear completely above 155 °C. Pre-stretching accelerates the initial stress relaxation rate and enhances the relaxation resistance, with a pronounced effect at 180 °C where the residual stress difference between pre-stretched and undeformed specimens reaches 9.5 MPa after 27 h. Mechanistically, pre-stretching increases dislocation density and promotes T1 precipitation while suppressing its coarsening. Mechanical property evaluation reveals that pre-stretched specimens exhibit superior strength at all aging temperatures, with yield strength increases of 30.7%, 17.8%, and 4.2% at 130 °C, 155 °C, and 180 °C, respectively. Notably, at 180 °C, pre-stretched specimens also show improved elongation (10.2%) compared to undeformed specimens (5.9%). Strengthening mechanism analysis indicates that work hardening dominates at low temperatures, while T1 phase precipitation strengthening becomes predominant at medium-to-high temperatures. The quantitative microstructure–property relationships established in this work provide a robust foundation for optimizing thermomechanical processing of Al–Cu–Li alloys for enhanced relaxation resistance and mechanical performance. © 2026 Elsevier B.V.","Al-3.58Cu-0.89Li alloy; Mechanical properties; Microstructure; Strengthening and toughening mechanism; Stress relaxation mechanism","Aluminum alloys; Coarsening; Copper alloys; Precipitation (chemical); Stresses; Ternary alloys; Toughening; Volume fraction; Yield stress; Aging temperatures; Al-3.58cu-0.89li alloy; Mechanical; Pre-stretching; Property; Relaxation mechanism; Strengthening mechanisms; Stress relaxation mechanism; T1 phase; Toughening mechanisms; Stress relaxation","Article","Final","","Scopus","2-s2.0-105036472582"
"Barode J.; Vayyala A.; Virgillito E.; Aversa A.; Mayer J.; Fino P.; Lombardi M.","Barode, Jayant (57219930851); Vayyala, Ashok (57195127394); Virgillito, Enrico (57209368836); Aversa, Alberta (57190000675); Mayer, Joachim (57211372911); Fino, Paolo (6603239667); Lombardi, Mariangela (16203713500)","57219930851; 57195127394; 57209368836; 57190000675; 57211372911; 6603239667; 16203713500","Revisiting heat treatments for additive manufactured parts: A case study of A20X alloy","2023","Materials and Design","225","","111566","","","26","10.1016/j.matdes.2022.111566","https://www.scopus.com/pages/publications/85145972293?origin=resultslist","A20X (Al-Cu-Ag-Mg-TiB2) is a precipitation hardening alloy, recently developed for additive manufacturing processing. Printed parts of A20X alloy are usually post-processed with a long T7 heat treatment for improved mechanical properties with respect to its as-built counterparts. However, in the present investigation, it was demonstrated that T7 might not be the best suitable heat treatment available for A20X alloy. A detailed microstructural characterization of A20X samples processed with laser powder bed fusion and post-processed with T7 was carried out. Microstructural features were analysed in terms of grain size, precipitate size, phase quantification, dislocation density and width of the precipitate free zones. After the analysis, a simple and rapid heat treatment was proposed which significantly improved the mechanical properties. The yield strength (YS), ultimate tensile strength (UTS) and elongation to fracture (e) for the T7 heat treatment were 370 ± 9 MPa, 435 ± 13 MPa and 7.3 ± 0.3 % respectively. With the proposed heat treatment, an increment of 7.1 % in YS, 6.3 % in UTS and 45 % in e was witnessed. This exceptional improvement in the mechanical behaviour has been associated with the absence of grain boundary cracking in the proposed heat treatment. © 2022","Additive manufacturing; high strength Al alloy; Mechanical behaviour; Microstructural evolution; Post-processing heat treatment","Additives; Age hardening; Aluminum alloys; Copper alloys; Grain boundaries; High strength alloys; Microstructural evolution; Precipitation (chemical); Tensile strength; Titanium alloys; Al-alloy; Case-studies; High strength al alloy; High-strength; Laser powders; Mechanical behavior; Microstructural characterizations; Post-processing; Post-processing heat treatment; Ultimate tensile strength; 3D printers","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85145972293"
"Shi C.; Ma M.; Yang B.; Liu Y.; Huang Y.; Du Y.","Shi, Chenying (57203191893); Ma, Muzhi (57217020586); Yang, Biaobiao (57022622900); Liu, Yuling (57022679000); Huang, Yushen (58307370300); Du, Yong (57045488600)","57203191893; 57217020586; 57022622900; 57022679000; 58307370300; 57045488600","Effect of Ti additions on microstructure and mechanical properties of Cu–Cr–Zr alloy","2023","Journal of Materials Science and Technology","163","","","69","80","63","10.1016/j.jmst.2023.04.012","https://www.scopus.com/pages/publications/85161278801?origin=resultslist","Ti additions in Cu–Cr–Zr alloys are useful for achieving high mechanical properties. In this work, the influence of Ti contents (0.25 wt%, 0.6 wt%, and 1.02 wt%) on the microstructure, mechanical, and electrical properties of Cu–Cr–Zr alloys has been investigated experimentally, along with thermodynamic and kinetic calculations. The electrical conductivity decreased but the hardness/strength increased with increasing Ti content. The lower electrical conductivity is due to increased electron scattering through the solution of more Ti atoms in the Cu matrix. As for the higher hardness/strength, it is mainly owing to higher dislocation density and finer FCC-Cr precipitates. Furthermore, a model considering the size distributions of precipitates is adopted to calculate precipitation strengthening quantitatively. The calculated yield strengths are consistent with the experimental ones for the alloys. The thermodynamic and kinetic calculations reveal that increasing Ti content can facilitate the nucleation of FCC-Cr but enhance its activation energy, hence hindering the growth process. The present work study can provide an effective strategy for producing copper alloys with expected performance. © 2023","Cu–Cr–Zr–Ti alloy; Mechanical and electrical properties; Microstructure; Precipitation behavior; Thermodynamic and kinetic calculations","Activation energy; Copper alloys; Electric conductivity; Electron scattering; Hardness; Kinetics; Precipitation (chemical); Thermodynamics; Titanium alloys; Zircaloy; Cu-Cr-Zr; Cu-Cr-Zr alloys; Cu–cr–zr–ti alloy; Kinetic calculations; Mechanical and electrical properties; Precipitation behaviour; Thermodynamics and kinetics; Thermodynamics calculations; Ti alloys; Ti content; Microstructure","Article","Final","","Scopus","2-s2.0-85161278801"
