"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Xiao G.; Yang X.; Yuan G.; Li Z.; Shu X.","Xiao, Gesheng (55611264800); Yang, Xuexia (36631288900); Yuan, Guozheng (24367852100); Li, Zhigang (57206872046); Shu, Xuefeng (55441559600)","55611264800; 36631288900; 24367852100; 57206872046; 55441559600","Mechanical properties of intermetallic compounds at the Sn-3.0Ag-0.5Cu/Cu joint interface using nanoindentation","2015","Materials and Design","88","","","520","527","52","10.1016/j.matdes.2015.09.059","https://www.scopus.com/pages/publications/84944405436?origin=resultslist","Intermetallic compounds (IMCs) at the Sn-3.0Ag-0.5Cu/Cu joint interface were prepared through reflow soldering and isothermal aging in a QHL360 SMT fully automatic reflow soldering system and a high-temperature test chamber, respectively. The mechanical properties of IMCs were then studied and characterized by nanoindentation. The mechanical responses of both Cu6Sn5 and Cu3Sn (IMCs) show large dependence on the strain rate during loading. In addition, multiple pop-in events are observed in Cu6Sn5 but not evident in Cu3Sn. During loading, the contact stiffness of IMCs increases almost linearly with the indentation depth under each strain rate. In total, the hardness and elastic modulus of Cu3Sn are larger than those of Cu6Sn5, and the hardness of both Cu6Sn5 and Cu3Sn increase with increasing strain rate. During the holding stage, creep deformations of IMCs increase as loading strain rate increases. Indentation creep displacement-time curves for Cu6Sn5 and Cu3Sn can be well described by the generalized Kelvin model. The lower creep rate sensitivity exponent of Cu3Sn implies its relatively higher creep resistance. © 2015 Elsevier Ltd.","Creep; Intermetallic compounds; Mechanical properties; Nanoindentation; Strain rate","Copper compounds; Creep; Creep resistance; Flip chip devices; Hardness; Intermetallics; Mechanical properties; Nanoindentation; Silver; Soldering; Soldering alloys; Strain; Tin; Contact stiffness; Creep deformations; Generalized kelvin models; Hardness and elastic modulus; Indentation creep; Indentation depth; Loading strain rates; Mechanical response; Strain rate","Article","Final","","Scopus","2-s2.0-84944405436"
"Elthalabawy W.; Khan T.I.","Elthalabawy, W. (36022020800); Khan, T.I. (25960151500)","36022020800; 25960151500","Diffusion bonding of austenitic stainless steel 316L to a magnesium alloy","2010","Key Engineering Materials","442","","","26","33","8","10.4028/www.scientific.net/KEM.442.26","https://www.scopus.com/pages/publications/77955447199?origin=resultslist","Dissimilar metal combinations are often necessary when manufacturing a component in order to meet particular functional and engineering requirements or protect against environmental degradation. Stainless steels are used in a diverse range of applications due to their excellent corrosion resistance, formability and strength. The 316L stainless steel also shows good crashworthiness due to its high strain rate sensitivity which makes it suitable for the transportation industry. The joining together of the 316L steel and AZ31 magnesium alloy cannot be achieved using conventional fusion welding methods and therefore, diffusion bonding using interlayers was used to overcome the differences in their physical properties. The results show that Cu and Ni interlayers form a eutectic with the magnesium which enhances wettability and bond formation through isothermal solidification. The effect of hold time on the microstructural developments across the joint region was studied at a bonding temperature of 530°C and 510°C for the Cu and Ni interlayers respectively using a bonding pressure of 0.2 MPa. This preliminary investigation shows that by increasing the bonding time from 5 to 60 minutes results in a Cu-Mg and Ni-Mg eutectic phase structure forming along the bond interface. By holding the joint at the bonding temperature for 15 minutes initiates isothermal solidification of the joint and this was confirmed by DSC analysis. However, the movement of the solid/liquid interface on solidification pushes intermetallic phases into the center of the bond during the solidification stage. The intermetallics increase the hardness value of the bond interface and lower final bond strengths.","Bonding; Magnesium alloy; Microhardness; Microstructure; Stainless steel","Binary alloys; Bonding; Copper; Copper alloys; Corrosion resistance; Crashworthiness; Diffusion bonding; Eutectics; Intermetallics; Isotherms; Magnesium alloys; Microhardness; Microstructure; Nickel; Solidification; Stainless steel; Steel corrosion; Strain rate; 316 L stainless steel; Bonding temperatures; Excellent corrosion resistances; Intermetallic phasis; Isothermal solidification; Microstructural development; Solid/liquid interfaces; Transportation industry; Austenitic stainless steel","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-77955447199"
"Martin M.; Mishra A.; Meyers M.A.; Thadhani N.N.","Martin, M. (13408948100); Mishra, A. (13408417700); Meyers, M.A. (55149905800); Thadhani, N.N. (7004498317)","13408948100; 13408417700; 55149905800; 7004498317","Instrumented anvil-on-rod tests for constitutive model validation and determination of strain-rate sensitivity of ultrafine-grained copper","2007","Materials Science and Engineering: A","464","1-2","","202","209","13","10.1016/j.msea.2007.01.147","https://www.scopus.com/pages/publications/34248526026?origin=resultslist","Anvil-on-rod impact tests were performed on as-received (cold-rolled) OFHC copper rods and copper processed by 2- or 8-passes of equal channel angular pressing (ECAP). The average grain size ranged from ∼30 μm for the as-received sample to ∼440 nm for the 8-pass sample. The dynamic deformation states of the samples were captured by high-speed digital photography and velocity interferometry was used to record the sample back (free) surface velocity. Computer simulations utilizing AUTODYN-2D hydrocode with the Johnson-Cook constitutive model were used to generate free surface velocity traces and transient deformation profiles for comparison with the experimental data. The comparison of experimental results with AUTODYN simulations provided a means for extracting the strain-rate sensitivity of copper as a function of grain size. Strain-rate sensitivity was found to increase as grain size decreased. © 2007 Elsevier B.V. All rights reserved.","Dynamic deformation; Grain size effects; Strain rate sensitivity; Ultrafine-grained (UFG) copper","Computer simulation; Copper; Equal channel angular pressing; Grain size and shape; High speed photography; Interferometry; Strain rate; Computer simulation; Equal channel angular pressing; Grain size and shape; High speed photography; Interferometry; Strain rate; Anvil-on-rod impact tests; Free surface velocity; Johnson-Cook constitutive model; Strain-rate sensitivity; Copper","Article","Final","","Scopus","2-s2.0-34248526026"
"Chakravartty J.K.; Kapoor R.; Sarkar A.; Banerjee S.","Chakravartty, J.K. (6603812320); Kapoor, R. (7201817892); Sarkar, A. (35462184900); Banerjee, S. (58557815600)","6603812320; 7201817892; 35462184900; 58557815600","Dynamic recrystallization in zirconium alloys","2010","Journal of ASTM International","7","8","","","","37","10.1520/JAI103003","https://www.scopus.com/pages/publications/77957195038?origin=resultslist","In this investigation, the characteristics of dynamic recrystallization (DRX) in five Zr-alloys, namely, commercial pure zirconium (CP-Zr), Zircaloy-2 (Zr-Sn), Zr-2.5Nb (Zr-Nb), Zr-2.5Nb-0.5Cu (Zr-Nb-Cu), and Zr-1Nb-1Sn-0.1Fe (Zr-Nb-Sn-Fe), have been examined. For this purpose, processing maps were constructed using strain rate sensitivity (m) data as a function of temperature and strain rate. This has been done using compression tests carried out at constant true strain rate. The processing maps revealed the bounds of DRX domain as iso-contour of m in strain rate-temperature plane. Optical microscopy and transmission electron microscopy (TEM) were used to analyze the evolution of the microstructure and to ascertain the nature of dislocation mechanisms in deformed and quenched samples from the DRX domain. For all the alloys studied, TEM revealed complete modification of β-transformed microstructure to an equiaxed morphology containing dislocation substructure within. The variation of grain size with strain rate and temperature, high ductility, and a linear variation of log (grain size) with log (Z) (where Z is the Zener-Hollomon parameter) are some important characteristic features associated with DRX domains of Zr-alloys. While Nb exhibited strong influence on lowering the strain rate for the occurrence of DRX of CP-Zr, Sn addition (Zr-Sn) did not alter DRX characteristics. TEM observations neither revealed the nature of nucleation event nor identified the dislocation mechanism involved in the DRX process. In order to ascertain the rate controlling dislocation mechanism, the flow stress data were analyzed using a model of thermally activated flow. On the basis of the magnitudes of activation energy and apparent activation area, the cross-slip of screw dislocation has been identified as the rate controlling mechanism involved in the DRX process. The activation energy has been found to increase by alloying elements, which is expected to lower stacking fault energy (SFE) and increase separation between the partials. Further analysis of the data using Friedel's model revealed that the activation energy for the cross-slip process can be decomposed into two parts-one related to the process of forming a constriction in the dissociated dislocations and the other needed for recombining the dissociated dislocations. While the former component (related to SFE) is dominant in Nb containing Zr-alloys, both the components are involved in controlling the deformation behavior of CP-Zr and Zr-Sn alloys. The effects of alloying elements on DRX characteristics and on the evolution of dislocation structure have been rationalized on the basis of cross-slip as the rate controlling dislocation mechanism in a qualitative manner. The importance of dynamic recovery in DRX process has been emphasized in view of this. Copyright © 2010 by ASTM International.","","Activation analysis; Activation energy; Alloying; Alloying elements; Alloys; Cerium alloys; Compression testing; Copper alloys; Dynamic recrystallization; Dynamics; Grain size and shape; Light transmission; Microstructure; Optical microscopy; Quality control; Screw dislocations; Slip forming; Thermal logging; Tin; Tin alloys; Transmission electron microscopy; Zirconium; Zirconium alloys; Zirconium compounds; Characteristics of dynamics; Compression tests; Cross-slip; Deformation behavior; Dislocation mechanisms; Dislocation structures; Dislocation substructures; Dissociated dislocations; Dynamic recovery; Evolution of the microstructure; Flow stress data; Grain size; Linear variation; Nb-containing; Processing maps; Rate-controlling; Rate-controlling mechanism; Recrystallizations; Sn alloys; Stacking fault energies; Strain rate sensitivity; TEM; TEM observations; Thermally activated; True strain; Zener-Hollomon parameter; Zircaloy-2; Zr-2.5Nb; Zr-Nb-Sn-Fe; Strain rate","Article","Final","","Scopus","2-s2.0-77957195038"
"Shohji I.; Yasuda K.; Takemoto T.","Shohji, Ikuo (6603440984); Yasuda, Kiyokazu (7403377969); Takemoto, Tadashi (7202394496)","6603440984; 7403377969; 7202394496","Estimation of thermal fatigue resistances of Sn-Ag and Sn-Ag-Cu lead-free solders using strain rate sensitivity index","2005","Materials Transactions","46","11","","2329","2334","7","10.2320/matertrans.46.2329","https://www.scopus.com/pages/publications/30844461687?origin=resultslist","A tensile test was conducted to evaluate thermal fatigue resistances of Sn-Ag and several Sn-Ag-Cu lead-free solder alloys. The test is based on the strain rate change method to obtain a strain rate sensitivity index, m. The m values were investigated at various strains during the tensile test until fracture. The plots of m and strain where m is measured showed a linear relationship. Therefore, the m value at zero strain, m0, and the gradient of the fitting line, k, were obtained by extrapolation. Using m 0 and k values investigated, an estimation of the thermal fatigue resistance of the solder joint was attempted. The ranking of the reciprocals of m0 and k in the solders is relatively in good agreement with that of the thermal fatigue resistance of the solder joints, and thus m0 and k can be indexes to develop a new lead-free solder with the excellent thermal fatigue resistance. Moreover, the influences of the aging treatment on m 0, k and the microstructure of the solder were also investigated. © 2005 The Japan Institute of Metals.","Lead-free solder; Mechanical properties; Strain rate sensitivities; Tensile test; Thermal fatigue; Tin-silver; Tin-silver-copper","Aging of materials; Fatigue of materials; Lead; Mechanical properties; Sensitivity analysis; Strain rate; Tensile testing; Tin alloys; Lead-free solder; Strain rate sensitivities; Thermal fatigue; Tin-silver; Tin-silver copper; Soldering","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-30844461687"
"Zhang J.Y.; Zhao J.T.; Li X.G.; Wang Y.Q.; Wu K.; Liu G.; Sun J.","Zhang, J.Y. (35321634400); Zhao, J.T. (58732875500); Li, X.G. (36108307300); Wang, Y.Q. (57218256309); Wu, K. (56443121300); Liu, G. (57205480059); Sun, J. (56195679900)","35321634400; 58732875500; 36108307300; 57218256309; 56443121300; 57205480059; 56195679900","Alloying effects on the microstructure and mechanical properties of nanocrystalline Cu-based alloyed thin films: Miscible Cu-Ti vs immiscible Cu-Mo","2018","Acta Materialia","143","","","55","66","63","10.1016/j.actamat.2017.09.039","https://www.scopus.com/pages/publications/85030866077?origin=resultslist","Tuning the microstructure to optimize the mechanical performance of nanocrystalline Cu thin films via the alloying strategy is quite important for their application in microdevices. In this work, we prepared nanocrystalline miscible Cu-Ti and immiscible Cu-Mo alloyed thin films to investigate alloying effects on the microstructure and mechanical properties of Cu thin films in terms of mixing enthalpies. It is found that the dopants of both Ti and Mo can notably refine the grains, and in particular promote the formation of nanotwins below a critical content of solute, beyond which the formation of nanotwins is notably suppressed. The nonmonotonic solute concentration-dependent twinning behavior observed in Cu-Ti and Cu-Mo alloyed thin films is explained by the coupling effects between grain size and grain boundary segregated dopants that affects the stimulated slip process of partials. The increased hardness of both Cu-Ti and Cu-Mo systems with increasing the solute contents are quantitatively explained by combining several strengthening mechanisms, including solid solution strengthening, grain/twin boundary (GB/TB) strengthening, solute segregation-induced strengthening. It unexpectedly appears that with increasing the solute contents, the Cu-Ti system exhibits monotonically reduced positive strain rate sensitivity (SRS, m), whereas the Cu-Mo system manifests almost constant negative SRS. The fundamental difference in SRS m between Cu-Ti and Cu-Mo is rationalized in terms of the interactions between solute atomic clusters and dislocations based on the cross-core diffusion mechanism. © 2017 Acta Materialia Inc.","Alloying; Dislocations; Grain boundary segregation; Mechanical properties; Nanocrystalline Cu thin films","Alloying; Binary alloys; Copper; Dislocations (crystals); Grain boundaries; Mechanical properties; Mechanisms; Microstructure; Molybdenum; Molybdenum alloys; Nanocrystals; Segregation (metallography); Strain rate; Thin films; Titanium alloys; Grain boundary segregation; Mechanical performance; Microstructure and mechanical properties; Nanocrystalline Cu; Solid solution strengthening; Solute concentrations; Strain rate sensitivity; Strengthening mechanisms; Copper alloys","Article","Final","","Scopus","2-s2.0-85030866077"
"Estrin Y.; Kim H.S.; Nabarro F.R.N.","Estrin, Y. (7005031984); Kim, H.S. (55921490700); Nabarro, F.R.N. (7004796075)","7005031984; 55921490700; 7004796075","A comment on the role of Frank-Read sources in plasticity of nanomaterials","2007","Acta Materialia","55","19","","6401","6407","55","10.1016/j.actamat.2007.07.052","https://www.scopus.com/pages/publications/35248894427?origin=resultslist","Dislocation generation by a Frank-Read source was considered for the case of nanocrystalline metallic materials. It was shown that thermally activated operation of this mechanism, which was proposed in the literature as an explanation for the observed grain size dependence of the strain rate sensitivity (SRS) of the flow stress, is only possible in a very limited range of the source lengths and stresses. By comparing the calculated SRS with the experimental data for copper, it was further demonstrated that the thermally activated Frank-Read mechanism can be discarded as a process underlying the observed strain rate sensitivity data. © 2007 Acta Materialia Inc.","Copper; Dislocations; Nanocrystalline materials; Plastic deformation; Strain rate sensitivity","Copper; Dislocations (crystals); Grain size and shape; Plastic deformation; Plasticity; Strain rate; Frank-Read mechanism; Metallic materials; Strain rate sensitivity (SRS); Nanostructured materials","Article","Final","","Scopus","2-s2.0-35248894427"
"Wang C.-H.; Sun C.-Y.; Guo X.-R.; Wei Y.-C.; Cai W.","Wang, Chun-Hui (57205029847); Sun, Chao-Yang (59000695600); Guo, Xiang-Ru (56593908600); Wei, Yun-Can (57291457700); Cai, Wang (57223236885)","57205029847; 59000695600; 56593908600; 57291457700; 57223236885","Investigation of the plastic deformation of single crystal copper using a two-dimensional discrete dislocation dynamics model; [单晶铜塑性变形的二维离散位错动力学模拟研究]","2021","Gongcheng Kexue Xuebao/Chinese Journal of Engineering","43","10","","1365","1375","3","10.13374/j.issn2095-9389.2021.04.21.005","https://www.scopus.com/pages/publications/85116887979?origin=resultslist","Microelectromechanical systems (MEMS) that feature components with the same geometrical size as that of an individual grain have been widely used in a variety of industries, including electronics, machinery, energy, transportation, aerospace, and architecture. Owing to the widespread engineering application of MEMS and nanoelectromechanical system devices, including sensors and actuators, submicron scale crystal materials exhibit mechanical behaviors different from those of macroscale materials, such as size effect, intermittent plastic flow, and strain rate effect, that have become significant topics in mechanics and materials research in recent years. Since dislocations are the carriers of plastic deformation, understanding the dislocation mechanism of submicron crystalline materials is crucial for designing and predicting microdevice reliability. To improve the understanding of abnormal mechanical behavior and dynamic deformation of submicron scale crystal components in processing and application, a two-dimensional discrete dislocation dynamics model of single crystal copper for plastic deformation was established based on the discrete dislocation dynamics theory. The effects of applied load, dislocation interactions, and image force by the free surface on dislocations were all considered in the numerical model, and the cutoff weighted dislocation velocity was also introduced. The model can be used to describe the ""dislocation avalanche"" effect under stress-controlled modes and interpret the dislocation evolution and mechanical behavior under different loading modes and strain rates, as demonstrated by microcompression experiments. When the external loading modes are force control and displacement control, the stress-strain curves show a step-like character under strain and a sharply serrated character under stress, respectively. The randomization of the dislocation velocity and intermittent activation of dislocation sources are the internal mechanisms of the dislocation avalanche effect. The strain rate sensitivity of the yield stress for single crystal copper changes in the strain rate range of 102-4 × 104 s−1. The evolution characteristics of the dislocations change from single slip plane to uniform deformations induced by multiple slip planes activation, and the dominant mechanism for the strain rate effect of yield stress is dislocation multiplication rather than dislocation source activation. © 2021, Science Press. All right reserved.","Discrete dislocation dynamics; Loading modes; Mechanical behavior; Single crystal copper; Strain rates","Chemical activation; Copper; Dislocations (crystals); Dynamics; Electromechanical devices; Loads (forces); Mechanical actuators; Mechanisms; MEMS; Nanocrystalline materials; Plastic deformation; Single crystals; Stress-strain curves; Yield stress; Discrete dislocation dynamics; Dislocation dynamics models; Dislocation velocities; Loading modes; Mechanical behavior; Single crystal copper; Strain rate effect; Strain-rates; Submicron scale; Two-dimensional; Strain rate","Article","Final","","Scopus","2-s2.0-85116887979"
"Lee K.-P.; Chen H.-C.; Tran D.-P.; Chen B.-Y.; Chen C.","Lee, Kang-Ping (57431164800); Chen, Hsuan-Chih (59237172600); Tran, Dinh-Phuc (56995604900); Chen, Bo-Yan (58761196100); Chen, Chih (37046512200)","57431164800; 59237172600; 56995604900; 58761196100; 37046512200","Direction-dependent mechanical strength of nanostructure-tuned copper","2025","Materials Science and Engineering: A","942","","148666","","","11","10.1016/j.msea.2025.148666","https://www.scopus.com/pages/publications/105007524922?origin=resultslist","This study presents the direction-dependent mechanical properties of different nanostructures of nanotwinned copper (NT-Cu), utilizing advanced nano-scale analysis techniques. Nanoindentation tests were performed on the top and cross-sectioned surfaces of the electroplated Cu films. The ultrafine-grained plus nanotwinned (UFG + NT) Cu exhibited the highest hardness, reaching 2.57 and 2.03 GPa from its top and cross-sectioned surfaces, respectively, more than twice that of the coarse-grained (CG) Cu. In fine-columnar-grained plus nanotwinned (FCG + NT) Cu, hardness is higher (2.51 GPa) when the indentation is perpendicular to the twin planes than parallel to the twin planes (1.93 GPa). The measured Kernel average misorientation (KAM) increased with grain sizes, with the (UFG + NT) Cu showing the highest values: 0.61 on the top surface and 0.98 on the cross-sectioned surface. This resulted in the highest geometrically necessary dislocation density (ρGND) at 2.08 × 1015 and 3.34 × 1015. We also calculated strain rate sensitivity (M) and apparent activity volume (V) for each structure. The M value was found to be more sensitive to twin boundaries, while the V value is interdependent with the twin spacing. A confined layer slip model was adopted for an accurate cross-verification of theoretical predictions alongside experimental results. This comprehensive study enhances the understanding of essential parameters that contribute to the mechanical performance of Cu foils with various microstructures. © 2025 Elsevier B.V.","Apparent activity volume; Confined layer slip model; Kernel average misorientation; Nanotwinned Cu; Strain rate sensitivity","Bond strength (materials); Brinell Hardness; Bulk Density; Metallic films; Microhardness; Nanohardness; Nanorings; Nanotubes; Activity volumes; Apparent activity volume; Confined layer slip model; Kernel average misorientation; Mechanical; Misorientations; Nanotwinned; Nanotwinned cu; Slip model; Strain-rate sensitivity; Strain rate","Article","Final","","Scopus","2-s2.0-105007524922"
"ARJMAND M.; ABBASI S.M.; TAHERI A.K.; MOMENI A.","ARJMAND, M. (26025086800); ABBASI, S.M. (36099027100); TAHERI, A. KARIMI (7003470708); MOMENI, A. (34768801600)","26025086800; 36099027100; 7003470708; 34768801600","Hot workability of cast and wrought Ni–42Cu alloy through hot tensile and compression tests","2016","Transactions of Nonferrous Metals Society of China (English Edition)","26","6","","1589","1597","10","10.1016/S1003-6326(16)64264-4","https://www.scopus.com/pages/publications/84991628461?origin=resultslist","In order to analyze the flow behavior and workability of Ni–42Cu in cast and wrought conditions, hot deformation tests were performed at temperatures and strain rates within the ranges of 900–1150 °C and 0.001–1 s−1, respectively. Tensile tests showed a “hot ductility trough” at 950 °C for both alloys. The drop in hot ductility was more considerable in the cast alloy because of the sluggish dynamic recrystallization. The hot ductility drop and grain boundary cracking, particularly in the cast alloy, were attributed to the segregation of detrimental atoms to the boundaries. It was shown that the hot ductility of the wrought alloy could be improved with increasing strain rate. It was associated with increasing the fraction of dynamic recrystallization at higher strain rates. This finding corroborated the change in the mechanism of dynamic recrystallization with strain rate. The strain rate sensitivity and instability parameters calculated for the wrought alloy showed that the material is prone to strain localization at low temperatures, i.e., 950–1050 °C, and high strain rates of 0.1 and 1 s−1. Based on the tensile and compression tests, the best temperature range for a desirable hot workability was introduced as 1050–1150 °C. © 2016 The Nonferrous Metals Society of China","dynamic recrystallization; formability; hot compression; hot ductility; mechanical properties; Ni–Cu alloy","Compression testing; Copper alloys; Drops; Ductility; Dynamic recrystallization; Dynamics; Formability; Grain boundaries; Hot pressing; Mechanical properties; Nickel; Recrystallization (metallurgy); Tensile testing; Cu alloy; Ductility trough; Grain boundary cracking; High strain rates; Hot deformation tests; Strain localizations; Strain rate sensitivity; Temperature range; Strain rate","Article","Final","","Scopus","2-s2.0-84991628461"
"Musin F.F.; Bolshakov B.O.; Domracheva E.","Musin, F.F. (56121984900); Bolshakov, B.O. (56440303200); Domracheva, E. (57191254018)","56121984900; 56440303200; 57191254018","Superplastic behavior of an Al-Cu-Mg-Mn-Ag alloy","2016","Materials Science Forum","870","","","185","190","0","10.4028/www.scientific.net/MSF.870.185","https://www.scopus.com/pages/publications/84988358723?origin=resultslist","The superplastic properties and microstructural evolution of a commercial Al-4.4%Cu- 0.5%Mg-0.4%Mn-0.5%Ag-0.1%Ti alloy were examined under tension at temperatures ranging from 450 to 520°C and strain rates ranging from 6.9x10-5to 6.9x10-2s-1. The refined microstructure with an average grain size of about 11μm was produced in thin sheets by a commercially viable thermomechanical process. The highest elongation to failure of 540% was attained at a temperature of 500°C and an initial strain rate of 6.9x10-4s-1with the corresponding strain rate sensitivity coefficient of 0.55. The microstructural evolution during superplastic deformation of the aluminum alloy has been studied quantitatively. Processing at temperatures above 475°C and strain rate below 1.4x10-3s-1resulted in fracturing almost without necking with cavitation playing a major role in the failure. In contrast, at low temperatures and/or high strain rates, fracture occurred in a ductile manner by localized necking. The relationship between superplastic ductility and microstructural evolution is analyzed. © 2016 Trans Tech Publications, Switzerland.","Aluminum alloys; Mechanical properties; Microstructure; Superplastic deformation","Aluminum alloys; Copper alloys; Ductile fracture; Magnesium alloys; Manganese alloys; Mechanical properties; Microstructural evolution; Microstructure; Silver alloys; Superplastic deformation; Titanium alloys; Average grain size; Elongation to failure; High strain rates; Refined microstructure; Strain rate sensitivity coefficient; Superplastic behavior; Superplastic properties; Thermomechanical process; Strain rate","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84988358723"
"Mu Y.; Yao G.; Cao Z.; Luo H.; Zu G.","Mu, Yongliang (15077074000); Yao, Guangchun (7201888051); Cao, Zhuokun (23972355600); Luo, Hongjie (57204698784); Zu, Guoyin (8532500000)","15077074000; 7201888051; 23972355600; 57204698784; 8532500000","Strain-rate effects on the compressive response of closed-cell copper-coated carbon fiber/aluminum composite foam","2011","Scripta Materialia","64","1","","61","64","25","10.1016/j.scriptamat.2010.09.005","https://www.scopus.com/pages/publications/77958039491?origin=resultslist","The compressive behavior of closed-cell copper-coated carbon fiber/aluminum composite foam with 1 and 5 wt.% fibers was assessed under quasi-static and high-strain-rate loading conditions. The 5 wt.% fiber/aluminum foam exhibits higher plastic collapse stress. The failure modes of fibers in the matrix were discussed. A strain-rate effect was demonstrated for fiber/aluminum foam. The strain-rate effect was more apparent at strain rates in the ∼ks-1 range and is attributed to the rate sensitivity of dense fiber/aluminum composite and to the foam structure. © 2010 Published by Elsevier Ltd. on behalf of Acta Materialia Inc.","Aluminum alloys; Carbon fibers; Compressive behavior; Foaming; Strain-rate sensitivity","Aluminum; Aluminum alloys; Carbon fibers; Failure analysis; Fibers; Foams; Metal coatings; Closed cells; Composite foams; Compressive behavior; Compressive response; Foam structure; Foaming; High-strain-rate; Loading condition; matrix; Plastic collapse; Quasi-static; Rate sensitivity; Strain rate effect; Strain-rate sensitivity; Strain rate","Article","Final","","Scopus","2-s2.0-77958039491"
"Tabachnikova E.D.; Shapovalov Yu.O.; Smirnov S.N.; Gorban V.F.; Krapivka N.A.; Firstov S.A.","Tabachnikova, E.D. (7003379178); Shapovalov, Yu.O. (26534982100); Smirnov, S.N. (7202271358); Gorban, V.F. (57188764563); Krapivka, N.A. (6508105966); Firstov, S.A. (7006259956)","7003379178; 26534982100; 7202271358; 57188764563; 6508105966; 7006259956","Low-temperature mechanical properties and thermally activated plasticity parameters of the CrMnFeCoNi2Cu high entropy alloy; [Низкотемпературные механические свойства и параметры термоактивированной пластичности высокоэнтропийного сплава CrMnFeCoNi2Cu]; [Низькотемпературні механічні властивості та параметри термоактивованої пластичності високоентропійного сплаву CrMnFeCoNi2Cu]","2020","Fizika Nizkikh Temperatur","46","9","","1131","1141","3","","https://www.scopus.com/pages/publications/85091628322?origin=resultslist","Mechanical properties of the CrMnFeCoNi2Cu high entropy fcc alloy have been studied in a wide range of low temperatures (4.2-350 K). Values of microhardness and Young's modulus at 300 K have been measured for two structural states. Temperature dependencies of the yield strength, deforming stress, and strain rate sensitivity have been obtained. It was established that in all the temperature range high strength state is realizing with significant plasticity remained. Empirical estimates have been made of the microscopical parameters of plasticity and internal stresses values in the framework of thermally activated deformation models. © 2020 Institute for Low Temperature Physics and Engineering. All rights reserved.","High entropy alloy; Low-temperature deformation; Thermal activation analysis; Thermally activated plasticity; Yield strength","Chromium alloys; Chromium metallography; Cobalt alloys; Copper alloys; Copper metallography; Deformation; Elastic moduli; Entropy; High-entropy alloys; Iron alloys; Iron metallography; Manganese alloys; Manganese metallography; Nickel metallography; Plasticity; Strain rate; Temperature; Yield stress; Empirical estimate; Low temperatures; Strain rate sensitivity; Structural state; Temperature dependencies; Temperature range; Thermally activated; Thermally activated plasticities; Cobalt metallography","Article","Final","","Scopus","2-s2.0-85091628322"
"Wang J.; Zhang P.; Duan Q.; Yang G.; Wu S.; Zhang Z.","Wang, Jiangwei (57200029754); Zhang, Peng (57750724200); Duan, Qiqiang (24449006700); Yang, Gang (57033182700); Wu, Shiding (55533798000); Zhang, Zhefeng (56068835900)","57200029754; 57750724200; 24449006700; 57033182700; 55533798000; 56068835900","Tensile deformation behaviors of Cu-Ni alloy processed by equal channel angular pressing","2010","Advanced Engineering Materials","12","4","","304","311","7","10.1002/adem.200900281","https://www.scopus.com/pages/publications/77951698860?origin=resultslist","The microstructure of the Cu-Ni alloy specimen ER is mainly elongated coarse grains. However, the microstructure of the specimen EH is inhomogeneous and some recrystallized sub-grains form. In addition, the misorientation angles of the specimens ER and EH are mainly smaller than 15°, showing a feature of low-angle grain boundaries. Although the uniform elongation of the ECAPed Cu-Ni alloy decreases rapidly, the yield strength of the Cu-Ni alloy is improved more than three times after ECAP for one pass. The mechanical properties, deformation, and fracture of Cu-Ni alloy are not significantly affected by the strain rates. With the increase in strain rates, the yield strength of the specimen E0 hardly changes but the ultimate tensile strength increases slightly. However, with the increase in strain rates, the tensile strength of the specimen EH gradually improved. Besides, the fracture fractographies of the specimens EH turn into shear dimples at high strain rate. In addition, both the strain-hardening exponent n and strain-rate sensitivity m of the specimens EH are small, inducing lower strainhardening, uniform plastic deformation and resistance to the shear deformation. © 2010 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.","","Alloys; Copper alloys; Deformation; Electric resistance; Equal channel angular pressing; Fatigue of materials; Fracture; Fracture mechanics; Grain boundaries; Mechanical properties; Microstructure; Pressing (forming); Tensile strength; Yield stress; Coarse grains; Cu-Ni alloys; High strain rates; Low angle grain boundaries; Misorientation angle; One-pass; Strain rate sensitivity; Strain-hardening exponent; Tensile deformation; Ultimate tensile strength; Uniform elongation; Yield strength; Strain rate","Article","Final","","Scopus","2-s2.0-77951698860"
