"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Li J.; Mei J.; Ni Y.; Lu H.; Jiang W.","Li, Junwan (21739759500); Mei, Jifa (35180158300); Ni, Yushan (7402909812); Lu, Huaibao (36537579700); Jiang, Wugui (8311185400)","21739759500; 35180158300; 7402909812; 36537579700; 8311185400","Two-dimensional quasicontinuum analysis of the strengthening and weakening effect of Cu/Ag interface on nanoindentation","2010","Journal of Applied Physics","108","5","054309","","","14","10.1063/1.3452350","https://www.scopus.com/pages/publications/77956845093?origin=resultslist","Multiscale simulations using the two-dimensional quasicontinuum method are performed to understand the nature of strengthening and weakening effect of Cu/Ag interface on nanoindentation at zero temperature. The investigation shows that the upper Cu film strengthens distinctly the lower Ag substrate. The nucleation and emission for first dislocation in Cu film is postponed obviously due to the effect of interface. Combined with the dislocation theory, a dislocation model of the interaction between the nucleated dislocation and the misfit dislocation is introduced to systematically evaluate the strengthening and weakening effects of interface on the Cu/Ag bilayer film system. It is found that the strengthening effect of interface on nanoindentation is governed by the resistance to the nucleated dislocation transmission, such as image force, lattice friction, and the repulsive force of the misfit dislocation. The bigger resistance will lead to the stronger strengthening effect. The weakening effect is mainly produced by the stress concentration and local misfit strain in the core region of the misfit dislocations due to the nucleation and propagation of misfit dislocations along the interface. The multiscale simulation results are in good agreement with the experimental results and dislocation theory model. © 2010 American Institute of Physics.","","Copper; Heterojunctions; Lanthanum compounds; Metallic films; Nanoindentation; Nucleation; Silver; Strengthening (metal); Stress concentration; Two dimensional; Ag substrate; Bi-layer films; Core region; Cu films; Dislocation models; Dislocation theory; Image force; Lattice friction; Misfit dislocations; Misfit strains; Multi-scale simulation; Nucleated dislocation; Propagation of misfit dislocations; Quasi-continuum analysis; Quasicontinuum method; Repulsive forces; Strengthening effect; Weakening effect; Zero temperatures; Carbon fiber reinforced plastics","Article","Final","","Scopus","2-s2.0-77956845093"
"Takahashi A.; Ghoniem N.M.","Takahashi, Akiyuki (7402799686); Ghoniem, Nasr M. (7005587839)","7402799686; 7005587839","Structure of self-interstitial atom clusters in iron and copper","2009","Physical Review B - Condensed Matter and Materials Physics","80","17","174104","","","7","10.1103/PhysRevB.80.174104","https://www.scopus.com/pages/publications/72849137609?origin=resultslist","The dislocation core structure of self-interstitial atom (SIA) clusters in bcc iron and fcc copper is determined using the hybrid ab initio continuum method of Banerjee [Philos. Mag. 87, 4131 (2007)]. To reduce reliance on empirical potentials and to facilitate predictions of the effects of local chemistry and stress on the structure of defects, we present here a hybrid extension of the Peierls-Nabarro continuum model, with lattice resistance to slip determined separately from ab initio calculations. A method is developed to reconstruct atomic arrangements and geometry of SIA clusters from the hybrid model. The results are shown to compare well with molecular-dynamics simulations. In iron, the core structure does not show dependence on the size of the self-interstitial cluster, and is nearly identical to that of a straight edge dislocation. However, the core structure of SIA clusters in Cu is shown to depend strongly on the cluster size. Small SIA clusters are found to have nondissociated compact dislocation cores, with a strong merging of Shockley partial dislocations and a relatively narrow stacking fault (SF) region. The compact nature of the SIA core in copper is attributed to the strong dependence of the self-energy on the cluster size. As the number of atoms in the SIA cluster increases, Shockley partial dislocations separate and the SF region widens, rendering the SIA core structure to that of an edge dislocation. The separation distance between the two partials widens as the cluster size increases, and tends to the value of a straight edge dislocation for cluster sizes above 400 atoms. The local stress is found to have a significant effect on the atomic arrangements within SIA clusters in copper and the width of the stacking faults. An applied external shear can delocalize the core of an SIA cluster in copper, with positive shear defined to be on the (111) plane along the [1̄ 1̄ 2] direction. For an SIA cluster containing 1600 atoms, a positive 1 GPa shear stress delocalizes the cluster and expands the SF to 30b, while a negative shear stress of 2 GPa contracts the core to less than 5b, where b is the Burgers vector magnitude. © 2009 The American Physical Society.","","","Article","Final","","Scopus","2-s2.0-72849137609"
"Yu C.; Okita T.; Kawabata T.; Uranaka S.; Li X.","Yu, Chenjun (58776544800); Okita, Taira (7101868879); Kawabata, Tomoya (26643269000); Uranaka, Shohei (57220005710); Li, Xixian (59649624200)","58776544800; 7101868879; 26643269000; 57220005710; 59649624200","The effects of alloying elements on hydrogen-affected generalized stacking fault energy and dislocation behavior in nickel-based alloys","2025","Materials Chemistry and Physics","341","","130907","","","12","10.1016/j.matchemphys.2025.130907","https://www.scopus.com/pages/publications/105002911061?origin=resultslist","Nickel-based alloys are widely used in applications requiring high toughness and ductility. However, the susceptibility of these alloys to hydrogen embrittlement (HE) presents a significant challenge. In this study, first-principles calculations were employed to investigate the generalized stacking fault energy (GSFE) in nickel doped with various alloying elements, including Al, Cr, Cu, Fe, Mn, Mo, Nb, Ti, and W. The semi-discrete variational Peierls-Nabarro model was used to explore the effects of hydrogen and alloying elements on dislocation core width, Peierls stress, and homogeneous dislocation nucleation stress. This research has revealed that the doping of all alloying elements reduces the intrinsic stacking fault energy of Ni, which promotes coplanar slip of dislocations and increases the risk of HE. However, doping also alters the interaction between dislocations and hydrogen. The majority of alloying elements can weaken the binding energy between hydrogen and dislocations and increase the Peierls stress for dislocation slip, thereby inhibiting hydrogen migration through dislocations and hydrogen-induced plastic flow. Notably, Fe, Cr, and Mn exhibit an inhibitory effect on dislocation nucleation at the presence of hydrogen. We have also discovered that the stress required for dislocation nucleation is significantly influenced by the width of the dislocation core, while it is less affected by the stacking fault energy. Previous computational and experimental studies have predominantly emphasized the influence of intrinsic stacking fault energy on HE. This research elucidates that alloying elements can enhance the material's resistance to HE by modifying the properties of dislocations. These findings provide a deeper understanding of the complex mechanisms behind HE in nickel-based alloys and offer insights for designing materials with improved resistance to hydrogen-induced degradation. © 2025 The Authors","First-principles; Hydrogen enhanced localized plasticity; Nickel; Peierls-Nabarro model; Stacking fault energy","Chromium alloys; Copper alloys; Dislocations (crystals); Iron alloys; Manganese alloys; Molybdenum alloys; Neodymium alloys; Nickel alloys; Niobium alloys; Sodium alloys; Stacking faults; Titanium alloys; Dislocation core; Dislocation nucleation; Fault energy; First principles; Generalized stacking fault energies; Hydrogen-enhanced localized plasticities; Nickel based alloy; Peierls-Nabarro model; Stacking fault energy; Stackings; Hydrogen embrittlement","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105002911061"
"Hillel G.; Meshi L.; Shimon S.; Kalabukhov S.; Frage N.; Zaretsky E.B.","Hillel, G. (57214793253); Meshi, L. (6506814598); Shimon, S. (57404909200); Kalabukhov, S. (23110877800); Frage, N. (7003488102); Zaretsky, E.B. (7005189644)","57214793253; 6506814598; 57404909200; 23110877800; 7003488102; 7005189644","Shock wave study of precipitation hardening of beryllium copper","2022","Materials Science and Engineering: A","834","","142599","","","13","10.1016/j.msea.2022.142599","https://www.scopus.com/pages/publications/85122503599?origin=resultslist","Based on three series of planar impact tests performed on beryllium copper samples, having thickness 0.25–6 mm, individual contributions of beryllium clusters (in the as quenched supersaturated solid solution), Guinier-Preston zones (GP, formed following ageing at 300°C for 26 min) and metastable γ"" precipitates (crystallizing after 400 min ageing at 300°C) to the strength of alloy were quantified along with corresponding activation volumes. These data being coupled with Transmission Electron Microscopy evaluation of geometry and statistics of GP and γ"" precipitates, made determination of the resistance τp to dislocation motion (Peierls stress) of the lattices of these particles possible. The great difference between values measured in these two cases, namely 3.7 GPa for GP and 1.4 GPa for the γ"" precipitates may be considered as an additional confirmation of the fact that in these two cases the strengthening occurs due to different phases. © 2022 Elsevier B.V.","Beryllium bronze; Planar impact testing; Precipitate strength; TEM","Beryllium; Copper; Hardening; Hardness; High resolution transmission electron microscopy; Impact testing; Shock testing; Activation volume; Beryllium bronze; Dislocation motion; Guinier-Preston zones; Metastables; Planar impact testing; Precipitate strength; Shock-waves; TEM; γ' precipitates; Bronze","Article","Final","","Scopus","2-s2.0-85122503599"
"Wang Z.; Laird C.","Wang, Zhirui (57202267926); Laird, Campbell (7102971263)","57202267926; 7102971263","Relationship between loading process and Masing behavior in cyclic deformation","1988","Materials Science and Engineering A","101","C","","L1","L5","27","10.1016/0921-5093(88)90072-X","https://www.scopus.com/pages/publications/0024012144?origin=resultslist","Masing behavior was investigated based upon the observed shapes of hysteresis loops in polycrystalline copper cycled with different loading methods. It was found that ramp-loaded specimens showed strong Masing behavior, whereas specimens tested in load control behaved much less in this aspect. To understand the above results, an elastic-perfect plastic multiphase model was given and friction stress and back stress analyses were carried out in support. The mechanism and results given in this letter are consistent with other results on cyclic deformation which contribute to understanding Masing behavior. © 1988.","","METALS AND ALLOYS - Plasticity; METALS TESTING - Elasticity; CYCLIC DEFORMATION; ELASTIC-PERFECT PLASTIC MULTIPHASE MODEL; LOADING PROCESS; MASING BEHAVIOR; COPPER AND ALLOYS","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-0024012144"
"Liu X.; Zhou X.; Kuang F.; Zuo H.; Huang J.","Liu, Xueshen (57216369898); Zhou, Xincong (7410092127); Kuang, Fuming (57196390698); Zuo, Houxiu (57222871818); Huang, Jian (57196372490)","57216369898; 7410092127; 57196390698; 57222871818; 57196372490","Mechanical and Tribological Properties of Nitrile Rubber Reinforced by Nano-SiO2: Molecular Dynamics Simulation","2021","Tribology Letters","69","2","54","","","54","10.1007/s11249-021-01427-9","https://www.scopus.com/pages/publications/85104125016?origin=resultslist","This paper investigated the mechanism of enhancing the mechanical and tribological properties of nitrile rubber (NBR) via the addition of nano-SiO2 on the molecular scale. Molecular dynamics (MD) simulations were performed on molecular structure models of pure NBR, NBR/SiO2, and three-layer friction pairs. The results showed that the hydrogen bonds and interfacial interaction between nano-SiO2 and NBR molecular chains decreased the fractional free volume of NBR nanocomposites and increased the shear modulus of NBR by 25% compared with that of pure NBR. During the friction process, nano-SiO2 decreased the radius of gyration of NBR molecular chains and effectively lowered the peak atomic velocity, the peak temperature, and the peak friction stress at the interface between NBR and copper atoms. The average friction stress on NBR/SiO2 was 34% lower than that on NBR, which meant the tribological properties of NBR were significantly improved by nano-SiO2. The mechanism of nano-SiO2-reinforcing NBR on a molecular scale can lay a theoretical foundation for the design of water-lubricated rubber bearings. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Mechanical and tribological properties; Molecular dynamics simulation; Nano-SiO<sub>2</sub>; Nitrile rubber","Cyanides; Friction; Hydrogen bonds; Molecules; Nonmetallic bearings; Reinforcement; Rubber; Silica; Silicon; SiO2 nanoparticles; Tribology; Fractional free volume; Interfacial interaction; Mechanical and tribological properties; Molecular dynamics simulations; Molecular structure models; Theoretical foundations; Tribological properties; Water lubricated rubber bearings; Molecular dynamics","Article","Final","","Scopus","2-s2.0-85104125016"
"Shan X.; Qi H.; Wang L.; Xie T.","Shan, Xiaobiao (15127770200); Qi, Haiqun (7202348855); Wang, Lili (57211868566); Xie, Tao (35220721300)","15127770200; 7202348855; 57211868566; 35220721300","A new model of the antifriction effect on wiredrawing with ultrasound","2012","International Journal of Advanced Manufacturing Technology","63","9-12","","1047","1056","16","10.1007/s00170-012-3976-8","https://www.scopus.com/pages/publications/84870062869?origin=resultslist","Abstract This paper presents a new mathematical model of wiredrawing with ultrasonic vibration based on the nonlocal friction theorem for overcoming the inadequacy in describing the friction effect by the conventional classical Coulomb friction model. The friction stress distribution, the contact pressure distribution, and the drawing force were obtained by employing Taylor's series, von Mises yield criterion, the velocity field theorem, power balance analysis, and a numerical solution method developed in MATLAB®. The ultrasonic antifriction effects of three different wires, including a copper wire, a stainless steel wire, and a titanium wire, were evaluated. The results point out that the antifriction effect of ultrasound on the titanium wire is the most obvious and then followed by the stainless steel wire and the copper wire; the ultrasonic amplitude has observable effects on the drawing force reduction, while the drawing speed has no visible effect on the drawing force. The experimental system of wiredrawing with ultrasound was designed. The experimental results verify the validity of the modeling and the theoretical analysis. The present work provides a new methodology to predict the contact mechanics and tribology property of wiredrawing with ultrasound for metals, especially for difficult-to-draw materials. ©Springer-Verlag London Limited 2012.","Antifriction effect; Difficult-to-draw material; Nonlocal friction; Ultrasonic wiredrawing; Velocity field","Deformation; Friction; Stress concentration; Titanium; Tribology; Ultrasonics; Velocity; Wire drawing; Antifriction effect; Contact Mechanics; Contact pressure distribution; Copper wires; Coulomb friction models; Drawing force; Drawing speed; Experimental system; Friction effect; Friction stress; New mathematical model; Non-local friction; Numerical solution method; Power balance; Stainless steel wires; Taylor's series; Titanium wires; Tribology properties; Ultrasonic amplitude; Ultrasonic vibration; Velocity field; Von Mises yield criterion; Wire","Article","Final","","Scopus","2-s2.0-84870062869"
"Mughrabi H.","Mughrabi, Hael (7005610832)","7005610832","Implications of linear relationships between local and macroscopic flow stresses in the composite model","2006","International Journal of Materials Research","97","5","","594","596","5","10.3139/146.101276","https://www.scopus.com/pages/publications/33745598182?origin=resultslist","Earlier results obtained by X-ray diffraction studies on tensile-deformed [001]-orientated copper single crystals have recently been re-assessed with respect to the evolution of the long-range internal stresses and the local flow stresses of the dislocation cell walls and the cell interiors. It was noted that the magnitudes of the long-range internal stresses and of the local flow stresses increase in good approximation linearly with the applied macroscopic flow stress. In the present work, the results of a similar analysis of earlier published X-ray data, which were obtained on tensile-de-formed [001]-orientated Cu-Mn single crystals, are reported. When the friction stress of the alloy is taken into account, similar linear relationships to the case of deformed [001]-orientated copper single crystals were obtained. The implications of these results are analyzed in the framework of the composite model of crystal plasticity. It is shown that linear relationships of the type considered imply, in terms of the composite model, that the ratio between the local dislocation densities in the dislocation cell walls and the cell interiors must remain constant during deformation. This result is discussed with respect to the experimentally obtained data on local dislocation densities.","Composite model; Local flow stresses; Long-range internal stresses; Plastic deformation","Composite materials; Copper; Friction; Plastic deformation; Plastic flow; Residual stresses; Single crystals; X ray diffraction; Composite models; Local flow stresses; Long-range internal stresses; Macroscopic flow stresses; Stress analysis","Article","Final","","Scopus","2-s2.0-33745598182"
"Lloyd S.J.; Castellero A.; Giuliani F.; Long Y.; Mclaughlin K.K.; Molina-Aldareguia J.M.; Stelmashenko N.A.; Vandeperre L.J.; Clegg W.J.","Lloyd, S.J. (55727789600); Castellero, A. (6602583489); Giuliani, F. (7006179892); Long, Y. (25825186300); Mclaughlin, K.K. (12753985400); Molina-Aldareguia, J.M. (6602977547); Stelmashenko, N.A. (6602744573); Vandeperre, L.J. (7004491122); Clegg, W.J. (7101872664)","55727789600; 6602583489; 7006179892; 25825186300; 12753985400; 6602977547; 6602744573; 7004491122; 7101872664","Observations of nanoindents via cross-sectional transmission electron microscopy: A survey of deformation mechanisms","2005","Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences","461","2060","","2521","2543","80","10.1098/rspa.2005.1470","https://www.scopus.com/pages/publications/33644536187?origin=resultslist","Examination of cross-sections of nanoindents with the transmission electron microscope has recently become feasible owing to the development of focused ion beam milling of site-specific electron transparent foils. Here, we discuss the development of this technique for the examination of nanoindents and survey the deformation behaviour in a range of single crystal materials with differing resistances to dislocation flow. The principal deformation modes we discuss, in addition to dislocation flow, are phase transformation (silicon and germanium), twinning (gallium arsenide and germanium at 400 8C), lattice rotations (spinel), shear (spinel), lattice rotations (copper) and lattice rotations and densification (TiN/NbN multilayers). The magnitude of the lattice rotation, about the normal to the foil, was measured at different positions under the indents. Indents in a partially recrystallized metallic glass Mg 66Ni20Nd14 were also examined. In this case a low-density porous region was formed at the indent tip and evidence of shear bands was also found. Further understanding of indentation deformation will be possible with threedimensional characterization coupled with modelling which takes account of the variety of competing deformation mechanisms that can occur in addition to dislocation glide. Mapping the lattice rotations will be a particularly useful way to evaluate models of the deformation process. © 2005 The Royal Society.","Focused ion beam; Lattice rotations; Nanoindentation; Peierls stress; Shear bands; Transmission electron microscope","Arsenic compounds; Crystal lattices; Deformation; Dislocations (crystals); Electrons; Focused ion beams; Gallium alloys; Gallium compounds; Germanium; Ions; Liquid metals; Metallic glass; Nanoindentation; Rotation; Semiconducting gallium; Semiconductor quantum wires; Shear bands; Single crystals; Surveys; Transmission electron microscopy; Cross sectional transmission electron microscopy; Deformation behaviour; Deformation mechanism; Deformation modes; Deformation process; Dislocation flow; Dislocation glide; Focused ion beam milling; Gallium arsenide; Indentation deformation; Lattice rotations; Nanoindents; Peierls stress; Phase transformation; Single-crystal materials; Site-specific; Transmission electron microscope; Electron microscopes","Article","Final","","Scopus","2-s2.0-33644536187"
"Nagarjuna S.; Srinivas M.; Balasubramanian K.; Sarma D.S.","Nagarjuna, S. (6701685502); Srinivas, M. (59633544000); Balasubramanian, K. (57819246600); Sarma, D.S. (16430798300)","6701685502; 59633544000; 57819246600; 16430798300","Influence of polycrystalline grain size on yield and flow stress in Cu-1.5wt% Ti alloy","1994","Scripta Metallurgica et Materiala","30","12","","1593","1597","25","10.1016/0956-716X(94)90314-X","https://www.scopus.com/pages/publications/0028457114?origin=resultslist","[No abstract available]","","Composition; Cooling; Copper alloys; Dislocations (crystals); Grain boundaries; Hardening; Quenching; Strain; Strengthening (metal); Stresses; Titanium alloys; Dislocation density; Flow stress; Friction stress; Hall-Petch equation; Polycrystalline grain size; Grain size and shape","Article","Final","","Scopus","2-s2.0-0028457114"
"Hughes E.J.; Rutherford J.L.","Hughes, E.J. (7203072717); Rutherford, J.L. (35894805500)","7203072717; 35894805500","Microstrain in continuously reinforced tungsten-copper composites","1969","ASTM Special Technical Publication","STP 460","","","562","572","2","10.1520/STP49842S","https://www.scopus.com/pages/publications/84967009831?origin=resultslist","The microstrain characteristics of continuously reinforced tungsten-copper composites have been studied as a function of volume fraction of fibers and prestrain. In the unstrained condition, the dislocation friction stress of all of the specimens studied had a value of approximately 0.28 kgf/mm2 (400 psi). The initial microyield stress, however, was dependent on the volume fraction of fibers, and a linear relationship was observed. Both the friction stress and microyield stress were prestrain dependent. The rate of increase of both of these quantities was dependent on the volume fraction of fibers. The results are discussed qualitatively in terms of high dislocation density regions in the copper matrix surrounding the fibers, which arise from stresses in the matrix as a result of the differential contraction between the tungsten and copper during fabrication. © 1969 by ASTM International.","Copper; Evaluation; Fiber composites; Fiber spacing; Mechanical properties; Strains; Stresses; Tests; Tungsten","Copper; Elasticity; Fibers; Friction; Metallic matrix composites; Reinforced plastics; Structural design; Volume fraction; Continuously reinforced; Evaluation; Fiber spacing; Fibre composites; Friction stress; Micro-strain; Micro-yield stress; Pre-strain; Test; Tungsten-copper composites; Tungsten","Conference paper","Final","","Scopus","2-s2.0-84967009831"
"Meng Q.; Chang M.","Meng, Qinghua (55507488700); Chang, Mengzhou (57193550126)","55507488700; 57193550126","Interfacial crack propagation between a rigid fiber and a hyperelastic elastomer: Experiments and modeling","2020","International Journal of Solids and Structures","188-189","","","141","154","23","10.1016/j.ijsolstr.2019.10.006","https://www.scopus.com/pages/publications/85073820722?origin=resultslist","The interfacial adhesion between a metal fiber and an elastomer plays a key role in maintaining the structural integrity of stretchable interconnect composites under large strains, but their interfacial adhesion mechanisms have remained elusive. To this end, the interfacial debonding behavior and physical mechanisms between a rigid metal fiber and hyperelastic elastomer matrix are investigated by means of fiber pullout tests and numerical modeling. An improved cylindrical specimen is adopted for a copper fiber pulling out from polydimethylsiloxane (PDMS). A numerical model is developed to simulate the interfacial cracking using the Yeoh hyperelastic model and cohesive damage model. We report a first-of-its-kind experimental observation on the pullout process of a rigid fiber from elastomers. The results demonstrate that there exist three stages in the fiber pullout process: elastic deformation, interfacial debonding and interfacial friction. The interfacial shear strength between the rigid fiber and the PDMS is proportional to the reciprocal of the mixing ratio of the PDMS, and the interfacial friction stress varies inversely with the 1.25 power of the mixing ratio. Enhancing the mixing ratio of the PDMS decreases the strength of both the PDMS and the interface between the PDMS and the metallic materials while increasing their ultimate stretch due to a decrease of chemical crosslinking degree within the PDMS and at the interface between the PDMS and the metallic materials. The results obtained from the numerical model agree well with the experimental data. This work can aid in the design of advanced stretchable interconnect composites. © 2019 Elsevier Ltd","Elastomer; Fiber pullout test; Interfacial debonding; Rigid fiber; Yeoh hyperelastic model","Adhesion; Cracks; Crosslinking; Debonding; Elasticity; Elastomers; Fibers; Friction; Melt spinning; Metals; Microchannels; Mixing; Plastics; Polydimethylsiloxane; Silicones; Chemical cross-linking; Fiber pull-out test; Hyperelastic models; Interfacial crack propagation; Interfacial debonding; Interfacial shear strength; Polydimethylsiloxane PDMS; Rigid fibers; Numerical models","Article","Final","","Scopus","2-s2.0-85073820722"
"Duesbery M.S.","Duesbery, M.S. (7003638706)","7003638706","Dislocation motion, constriction and cross-slip in fcc metals","1998","Modelling and Simulation in Materials Science and Engineering","6","1","","35","49","76","10.1088/0965-0393/6/1/005","https://www.scopus.com/pages/publications/0031707637?origin=resultslist","A Finnis/Sinclair-type interatomic potential for copper is used to examine the properties of dissociated screw dislocations in the face-centred cubic lattice. The critical stress for dislocation motion is found to be a sensitive function of the partial dislocation separation, with a lower limit at least 85% smaller than the Peierls stress. The constriction of Heidenreich-Shockley partials is modelled using an applied stress which interacts only with the edge Burgers vectors; recombination is not observed, but there is a critical separation below which the potential energy of the dislocation rises very rapidly. The classical model of cross-slip, in which the dislocation cannot leave its slip plane unless it is fully constricted, is found to be incorrect. Instead, cross-slip is possible at all partial separations, provided the driving stress is large enough. Finally, a new mechanism for cross-slip nucleation is described.","","Crystal lattices; Dislocations (crystals); Mathematical models; Nucleation; Stress analysis; Vectors; Burgers vectors; Cross slip nucleation; Face centered cubic (FCC) metals; Finnis/Sinclair interatomic potential; Heidenreich-Schockley partial dislocations; Copper","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0031707637"
"Yoo M.H.; Takasugi T.; Hanada S.; Izumi O.","Yoo, M.H. (23370610100); Takasugi, T. (16220871600); Hanada, S. (7203001898); Izumi, O. (7006853634)","23370610100; 16220871600; 7203001898; 7006853634","Slip Modes in B2-Type Intermetallic Alloys","1990","Materials Transactions, JIM","31","6","","435","442","127","10.2320/matertrans1989.31.435","https://www.scopus.com/pages/publications/0025439852?origin=resultslist","The slip systems reported in B2-type ordered intermetallic alloys are overviewed on the basis of energetic and kinetic aspects of dislocation motion. The large elastic shear anisotropy in most B2 alloys and its increase with increasing hypostoichiometry and decreasing temperature are indicative of a lattice instability, which leads to a {110}<110) displacive transformation, not slip deformation. The orientation dependence of the yield stress for <111> slip directions at low temperatures can be explained by the Peierls-Nabarro model modified by the anisotropic coupling effect of nonglide stress. Some other thermally activated mechanism must be responsible, however, for the yield behavior of B2 alloys at elevated temperatures. The <001> slip directions observed in NiAl and CoTi are best rationalized in terms of the APB energy concept. The importance of mobile dislocation density and dislocation multiplication mechanisms is emphasized. The reason why NiAl does not show the anomalous temperature dependence of yield strength while CoTi does is not clear, and further research efforts in this area are recommended. © 1990, The Japan Institute of Metals. All rights reserved.","APB energy; B2-type intermetallic alloy; dislocation motion; elastic anisotropy; lattice instability; Peierls stress; slip system","Cobalt Titanium Alloys - Microstructure; Copper Zinc Alloys - Microstructure; Metallography - Lattice Defects; Nickel Aluminum Alloys - Microstructure; Silver Magnesium Alloys - Microstructure; Antiphase Boundary Energy; Dislocation Density; Dislocation Mobility; Elastic Constant; Nickel Aluminide; Superdislocations; Intermetallics","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-0025439852"
"Tsuzuki K.; Ide N.; Asano S.","Tsuzuki, Kazuma (7103367978); Ide, Naoki (56150215800); Asano, Shigeru (7202329164)","7103367978; 56150215800; 7202329164","Computer simulation of the elementary process of solid solution hardening in copper alloys","2002","Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals","66","7","","728","734","1","10.2320/jinstmet1952.66.7_728","https://www.scopus.com/pages/publications/0036630723?origin=resultslist","The elementary process of solid solution hardening is the dislocation motion overcoming solute atoms in a crystal. The motion of an extended dislocation in Cu-Au solid solution alloy has been investigated by molecular dynamics simulation using Morse-type potential. Firstly, the equilibrium core structure of an extended dislocation is constructed in a pure Cu crystal. The spacing of partial dislocations is 5.2 nm for the edge dislocation and 1.8 nm for the screw dislocation. These results are consistent with experimental observations. The Peierls stress is 12 × 10-4 G for the edge dislocation and 20 × 10-4 G for the screw dislocation, where G is the shear modulus. Substitutional solute Au atoms are inserted into the region adjacent to the slip plane in front of the extended dislocation, and shear stress is applied to the crystal. The stress required to make the dislocation pass over Au atoms is 123-146 × 10-4 G for the edge dislocation and 112-126 × 10-4 G for the screw dislocation. The stress to move the screw dislocation is comparable to that to move the edge dislocation on condition of the same solute content. Thus, not only the edge dislocations but also the screw dislocations contribute to the initial stage of slip deformation in Cu-Au solid solution alloys.","Computer simulation; Copper alloys; Dislocation core; Extended dislocation; Face centered cubic structure; Molecular dynamics; Peierls stress; Solid solution hardening","Gold; Hardening; Molecular dynamics; Shear stress; Solid solutions; Face centered cubic structures; Copper alloys","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0036630723"
"Whang S.H.; Feng Q.; Gao Y.-Q.","Whang, S.H. (7006161803); Feng, Q. (59585181500); Gao, Y.-Q. (59807198800)","7006161803; 59585181500; 59807198800","Ordering, deformation and microstructure in L10 type FePt","1998","Acta Materialia","46","18","","6485","6495","90","10.1016/S1359-6454(98)00311-5","https://www.scopus.com/pages/publications/0032204936?origin=resultslist","The long-range order (LRO) parameters for L10 FePt have been determined by the X-ray diffraction method from powder specimens as functions of time and temperature from 773 K to near 1573 K. By and large, the ordering takes place rapidly below Tc and reaches as high as 0.85 even at 773 K in the first 30 min. The LRO value is about 0.81 near Tc (1573 K) before it drops abruptly to zero at 1573 K. As a result, the order-disorder transformation in FePt is concluded to be a first-order phase transformation. Deformation behavior in an L10 type FePt alloy was investigated through both compressive and tensile deformation from room temperature (RT) to 1073 K. The negative temperature dependence of yield stress in this alloy contrasts with the positive dependence in L10 type TiAl. The elongation increases exponentially with temperature and reaches ∼6% at 873 K. The strain rate sensitivity parameter against temperature is similar to those found in silver and copper, where the non-zero minimum is centered in a broad basin. This indicates that the temperature-dependent deformation in the range of RT to 1073 K is analogous to that of some face-centered cubic metals, but significantly different from that of L10 TiAl. The deformation structure investigated by TEM shows that slip and twinning are the two major deformation mechanisms. The identified slip systems include 1/2[110]{111}; 〈101]{111} and 1/2〈112]{111}. The 112〈112]{111} slip system, however, is only active at very low temperatures, e.g. 77 K. The twin system was identified as {111}〈112] type. No pseudo-twinning was found in this alloy. The deformation below RT is mainly carried out by both superdislocations and ordinary dislocations, while above 673 K, it is carried out mainly by ordinary dislocations. The morphology of these dislocations in the entire temperature range indicates that the dislocations do not experience a high Peierls stress contrary to that observed in TiAl. No self-dissociation of superdislocations or APB cross-slip onto cube planes was observed under weak beam conditions. © 1998 Acta Metallurgica Inc. Published by Elsevier Science Ltd. All rights reserved.","","Crystal microstructure; Deformation; Dislocations (crystals); High temperature effects; Morphology; Order disorder transitions; Strain rate; Transmission electron microscopy; X ray diffraction analysis; Yield stress; Long-range order (LRO) parameters; Iron alloys","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-0032204936"
